CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion,ClickTimestamp
8000,56,Female,136912,Social Media,Awareness,6497.870068417766,0.043918510735383,0.088031412072881,0,2.399016527783845,7.396802580796059,19,6,9,4,688,Instagram,Meta Ads Manager,1,2024-12-27 19:32:53
8001,69,Male,41760,Email,Retention,3898.6686056807257,0.1557250710553343,0.18272468252179,42,2.9171377546565185,5.352548601242156,5,2,7,2,3459,Mailchimp,Mailchimp Automation,1,2025-05-04 12:11:18
8002,46,Female,88456,PPC,Awareness,1546.4295957990923,0.2774903687332632,0.0764227200769893,2,8.223619097965173,13.794901465536537,0,11,2,8,2337,Amazon Ads,Amazon Advertising Console,1,2024-09-19 08:41:31
8003,32,Female,44085,PPC,Conversion,539.5259357793692,0.1376112536017239,0.0880041866896052,47,4.540938973132648,14.688362621260511,89,2,2,0,2463,Google Ads,Google Ads Manager,1,2024-12-25 14:45:11
8004,60,Female,83964,PPC,Conversion,1678.0435726570656,0.2528511065638809,0.1099401031792947,0,2.046847118073755,13.993370402628964,6,6,6,8,4345,Google Ads,Google Ads Manager,1,2025-01-12 13:16:09
8005,25,Female,42925,Social Media,Awareness,9579.388246784005,0.1537946791446816,0.1613161264701013,6,2.1258497188974825,7.75283124173589,95,5,8,0,3316,Twitter (X),X Ads Manager,1,2025-02-16 17:12:09
8006,38,Female,25615,Referral,Awareness,7302.8998515526,0.0409753864012685,0.0609768202791524,42,1.753994644846414,10.698671609738582,54,14,3,6,930,Yotpo,Yotpo Loyalty Manager,1,2024-10-13 04:43:51
8007,56,Female,57083,Social Media,Conversion,5324.283667249509,0.0528779285572571,0.1889459248608511,48,2.6260147804299696,2.9878173820459533,96,9,3,0,2983,Twitter (X),X Ads Manager,1,2024-10-24 16:46:49
8008,36,Female,140788,Email,Retention,9421.250950540458,0.0235359683143721,0.1125850114170922,13,5.472842819871711,14.287420579067645,73,4,8,5,460,Sendinblue,Sendinblue Dashboard,1,2025-04-20 21:57:50
8009,40,Male,130764,Social Media,Awareness,6229.193333047879,0.0666412747669137,0.1697856796231377,22,1.1356646981040013,4.613311983530028,14,8,4,8,3789,LinkedIn,LinkedIn Campaign Manager,1,2025-02-09 09:07:43
8010,28,Male,88319,PPC,Retention,7283.887363978606,0.2691480889624259,0.1098675118566435,47,2.0541807216449692,3.294720457220691,94,16,5,6,1987,Amazon Ads,Amazon Advertising Console,1,2024-07-23 17:46:03
8011,28,Male,29605,SEO,Awareness,2898.2530032081336,0.1985574333235444,0.1566787071906025,16,9.16410933538071,1.3722992112148078,23,18,6,5,2403,Google Search,Google Search Console,1,2024-09-05 13:53:56
8012,41,Male,131093,Email,Conversion,5930.920251533039,0.2242685111160442,0.0197699429720159,13,8.889232340428132,8.480384140532976,28,16,5,4,2946,Sendinblue,Sendinblue Dashboard,1,2024-12-01 14:04:17
8013,53,Male,64608,SEO,Awareness,1520.4247185486186,0.190281822934065,0.1618503715197726,8,8.497723392296296,14.252724962307653,81,8,1,2,2818,Google Search,Google Search Console,1,2025-05-05 07:32:34
8014,57,Male,148788,Email,Awareness,4104.383137457977,0.1220963947201208,0.109552291663889,20,7.356534606290646,2.4660296351671014,70,16,8,1,3247,Mailchimp,Mailchimp Automation,1,2025-03-02 19:21:19
8015,41,Female,39192,Email,Awareness,429.07921736744015,0.0728897285108404,0.0953889617554506,44,6.95369491204816,2.2520393830350898,33,0,1,1,4474,Mailchimp,Mailchimp Automation,0,2024-12-08 06:44:51
8016,20,Female,23331,PPC,Conversion,2244.6180670685367,0.2784282293628509,0.0312058366562549,1,3.4796423004605357,4.452665667280358,77,7,8,8,3252,Google Ads,Google Ads Manager,1,2024-06-08 13:23:56
8017,39,Female,71330,Social Media,Conversion,841.1994312844795,0.1593006366518262,0.1508968823926174,31,4.0149507927033445,10.148211448254632,83,18,5,2,3463,TikTok,TikTok Ads Manager,1,2024-10-15 16:04:57
8018,19,Female,117392,PPC,Conversion,3939.0103131215906,0.1495189655503024,0.0349210939757863,7,3.1222196163658817,8.44329584248851,92,8,4,6,2222,Bing Ads,Microsoft Advertising Platform,1,2025-04-30 15:51:26
8019,41,Female,69949,PPC,Consideration,8446.048129921053,0.2988701856921282,0.0465403844327586,35,9.822822688497828,1.8950009240635688,36,7,7,3,3644,Amazon Ads,Amazon Advertising Console,1,2025-01-05 04:04:56
8020,61,Female,88382,PPC,Consideration,3841.5476528160257,0.1213396966326582,0.0340204185848331,25,6.708743067769062,6.913353501464534,41,5,1,6,1651,Bing Ads,Microsoft Advertising Platform,1,2025-02-25 18:33:07
